testcase,Composition,Number of atoms,Number of heavy atoms,Number of bonds,Number of rotatable bonds,Number of cyclic rotatable bonds,Largest macrocycle size,Number of flexible cycles,Number of rigid cycles,Number of kinematic DOFs,Cyclomatic number (n_edges-n_atoms+1),Total charge
pdb_1XBP,S1C28O4H48N1,82,34,84,34,16,8,1,1,17,3,1
pdb_1YND,H91C60N5O13,169,78,173,76,44,22,4,1,42,5,0
csd_ICYSPA,C62I1N11H110O12,196,86,197,75,38,33,1,1,64,2,0
csd_XAGXIN,H28C18N4O2,52,24,53,23,21,17,1,1,11,2,0
csd_FAGFEZ,S2C30N8H44O8,92,48,94,44,30,24,1,2,28,3,0
csd_YIVNOG,H62C40N10O4,116,54,120,54,50,30,3,2,24,5,0
csd_REMCOC,H29C27N1O5,62,33,65,34,29,17,1,3,9,4,0
pdb_1KHR,H33O7C28N3,71,38,73,36,30,23,1,2,17,3,0
csd_VOLHOU,H37O5C26N9,77,40,79,38,28,16,1,2,20,3,0
pdb_1E9W,C72S5O18H86N19,200,114,209,111,77,27,2,8,53,10,1
csd_CTVHVH01,H102O18C60N6,186,84,186,72,36,36,1,0,66,1,0
csd_CGPGAP10,H25O5C17N5,52,27,54,24,23,15,1,2,8,3,0
csd_QOSNAN,C32S1N8H42O9,92,50,96,47,40,18,2,2,20,5,0
pdb_2IYA,H62C35N1O12,110,48,113,49,29,14,3,1,28,4,1
pdb_1S22,H49C37N3O10,99,50,102,50,34,25,1,3,27,4,0
pdb_1NTK,H37C27N2O9,75,38,76,33,15,9,1,1,21,2,-1
pdb_2DG4,H79C51N1O13,144,65,147,63,44,29,4,0,35,4,0
pdb_2IYF,H67C37N1O13,118,51,120,51,26,14,3,0,33,3,0
csd_JINWUZ,H46C31N4O9,90,44,91,39,24,18,1,1,27,2,0
pdb_2F3E,S2C31N5H55O7,100,45,100,40,15,15,1,0,33,1,0
pdb_2F3F,S2C24N4H43O4,77,34,78,32,20,15,2,0,19,2,1
pdb_1FKD,H69O13C43N1,126,57,129,56,36,21,4,0,30,4,0
pdb_2OTJ,H50C32O10,92,42,93,39,21,18,1,1,28,2,0
pdb_1FKL,H79C51N1O13,144,65,147,63,44,29,4,0,35,4,0
pdb_1FKI,H39O6C24N1,70,31,71,28,26,21,2,0,16,2,0
csd_CLPGDH,H46C34N6O6,92,46,94,42,30,18,1,2,24,3,0
pdb_1FKJ,H69O12C44N1,126,57,129,56,36,21,4,0,29,4,0
csd_GEZBUI,H51C30N5O7,93,42,94,37,23,19,1,1,26,2,0
csd_KAQJER,S1C25O7H41N3,77,36,78,33,24,18,1,1,21,2,0
csd_WUBGAB,H60C36N4O12,112,52,112,44,24,24,1,0,38,1,0
csd_ABOJOR,H27C29N5O12,73,46,76,41,39,25,1,3,17,4,0
pdb_2PH8,S1C24O4H34N3,66,32,68,31,24,16,1,2,13,3,1
csd_QUDROW,H48O3C27N6,84,36,87,36,36,24,1,3,15,4,0
csd_RULSUN,H67O12C43N1,123,56,126,55,36,21,3,1,29,4,0
csd_DAFGIA,H28O2C32N4,66,38,70,40,38,16,1,4,8,5,0
csd_CUQRUB,H113C64N11O13,201,88,201,76,33,33,1,0,69,1,0
pdb_1XS7,H62O8C38N6,114,52,115,47,22,16,1,1,35,2,0
csd_LALWIF,H22O4C22N6,54,32,58,32,32,16,1,4,4,5,0
csd_XAGXOT,H36O2C22N4,64,28,65,27,19,15,1,1,15,2,0
csd_JOKSAD,H28C16O4,48,20,48,19,16,16,1,0,12,1,0
csd_CAHWEN,H46O6C34N6,92,46,94,42,30,18,1,2,24,3,0
csd_MECBOL,H26C13N4O3,46,20,46,18,16,16,1,0,12,1,0
csd_DALPUC,H40C31N6O6,83,43,85,39,30,18,1,2,21,3,0
csd_NITFEB,H32C20O5,57,25,57,23,16,16,1,0,15,1,0
csd_YAGKOG,H92C60N8O12,172,80,175,74,43,27,1,3,51,4,0
pdb_2C6H,H44C25N1O6,76,32,77,31,18,12,2,0,18,2,1
pdb_2GPL,H36C33N6O9,84,48,87,44,30,17,1,3,20,4,0
pdb_1PKF,S1C27N1H43O5,77,34,78,33,21,16,1,1,21,2,0
pdb_1PPJ,H36O9C26N2,73,37,74,33,15,9,1,1,21,2,0
pdb_1YXQ,H134C78O20,232,98,236,100,60,40,4,1,66,5,0
csd_RASTIO,H22O10C16N2,50,28,50,22,18,18,1,0,16,1,0
pdb_3K5C,H45O4C35N3,87,42,91,45,33,16,1,4,18,5,0
csd_MALVAL10,H66O10C38N6,120,54,120,46,24,24,1,0,40,1,0
pdb_2WHW,H42C21N1O3,67,25,68,26,19,13,2,0,14,2,1
csd_ABOMOT,H62O18C56N14,150,88,156,76,62,30,1,6,36,7,0
csd_DACMAW,H45C34N5O11,95,50,98,48,34,18,1,3,25,4,0
pdb_1YET,H40C29N2O9,80,40,81,37,23,19,1,1,22,2,0
csd_MIWTER,H57C37N5O7,106,49,108,45,29,19,1,2,28,3,0
pdb_7UPJ,S1C27O5H29N1,63,34,67,35,28,8,1,4,8,5,0
csd_YUPBAN01,H96O18C57N6,177,81,177,69,36,36,1,0,63,1,0
pdb_1NWX,H60C42N3O10,115,55,119,55,35,14,2,3,26,5,1
csd_FEGJAD,H43O5C33N5,86,43,89,41,31,15,1,3,18,4,0
csd_KIVDIC,H42O6C26N6,80,38,82,34,26,18,1,2,18,3,0
csd_XAGYAG,H36O2C25N4,67,31,69,31,25,17,1,2,14,3,0
csd_OHUXEU,H50C41N6O9,106,56,110,54,42,18,2,3,24,5,0
csd_CTILIH10,H102O18C60N6,186,84,186,72,36,36,1,0,66,1,0
csd_FIVSAE,H27O5C21N5,58,31,60,28,25,15,1,2,11,3,0
pdb_2Q0R,H68C47O14,129,61,137,67,56,26,3,5,18,9,0
